id,EC
616,2.3.1.89
617,2.3.1.9
618,2.3.1.97
619,2.3.1.n5
620,2.3.1.n6
621,2.3.1.n7
622,2.3.2.-
623,2.3.2.13
624,2.3.2.16
625,2.3.2.17
626,2.3.2.18
627,2.3.2.2
628,2.3.2.23
629,2.3.2.24
630,2.3.2.26
631,2.3.2.27
632,2.3.2.29
633,2.3.2.3
634,2.3.2.31
635,2.3.2.34
636,2.3.2.36
637,2.3.2.5
638,2.3.2.6
639,2.3.3.-
640,2.3.3.1
641,2.3.3.10
642,2.3.3.13
643,2.3.3.14
644,2.3.3.16
645,2.3.3.21
646,2.3.3.5
647,2.3.3.8
648,2.3.3.9
649,2.4.-.-
650,2.4.1.-
651,2.4.1.1
652,2.4.1.10
653,2.4.1.102
654,2.4.1.109
655,2.4.1.11
656,2.4.1.115
657,2.4.1.117
658,2.4.1.12
659,2.4.1.122
660,2.4.1.123
661,2.4.1.129
662,2.4.1.13
663,2.4.1.131
664,2.4.1.132
665,2.4.1.135
666,2.4.1.141
667,2.4.1.142
668,2.4.1.145
669,2.4.1.148
670,2.4.1.15
671,2.4.1.150
672,2.4.1.152
673,2.4.1.16
674,2.4.1.17
675,2.4.1.175
676,2.4.1.18
677,2.4.1.180
678,2.4.1.182
679,2.4.1.186
680,2.4.1.187
681,2.4.1.19
682,2.4.1.198
683,2.4.1.207
684,2.4.1.21
685,2.4.1.212
686,2.4.1.221
687,2.4.1.222
688,2.4.1.224
689,2.4.1.225
690,2.4.1.226
691,2.4.1.227
692,2.4.1.242
693,2.4.1.25
694,2.4.1.250
695,2.4.1.255
696,2.4.1.256
697,2.4.1.257
698,2.4.1.258
699,2.4.1.265
700,2.4.1.267
701,2.4.1.275
702,2.4.1.312
703,2.4.1.315
704,2.4.1.32
705,2.4.1.325
706,2.4.1.344
707,2.4.1.347
708,2.4.1.38
709,2.4.1.41
710,2.4.1.46
711,2.4.1.50
712,2.4.1.65
713,2.4.1.68
714,2.4.1.69
715,2.4.1.80
716,2.4.1.83
717,2.4.1.87
718,2.4.1.90
719,2.4.1.91
720,2.4.2.-
721,2.4.2.1
722,2.4.2.10
723,2.4.2.14
724,2.4.2.17
725,2.4.2.18
726,2.4.2.19
727,2.4.2.2
728,2.4.2.21
729,2.4.2.22
730,2.4.2.26
731,2.4.2.28
732,2.4.2.29
733,2.4.2.3
734,2.4.2.30
735,2.4.2.31
736,2.4.2.4
737,2.4.2.43
738,2.4.2.44
739,2.4.2.48
740,2.4.2.52
741,2.4.2.53
742,2.4.2.57
743,2.4.2.59
744,2.4.2.60
745,2.4.2.64
746,2.4.2.7
747,2.4.2.8
748,2.4.2.9
749,2.4.3.1
750,2.4.3.2
751,2.4.3.4
752,2.4.3.6
753,2.4.99.-
754,2.4.99.12
755,2.4.99.13
756,2.4.99.16
757,2.4.99.17
758,2.4.99.18
759,2.5.-.-
760,2.5.1.-
761,2.5.1.1
762,2.5.1.10
763,2.5.1.108
764,2.5.1.114
765,2.5.1.129
766,2.5.1.140
767,2.5.1.141
768,2.5.1.145
769,2.5.1.147
770,2.5.1.15
771,2.5.1.16
772,2.5.1.17
773,2.5.1.18
774,2.5.1.19
775,2.5.1.21
776,2.5.1.25
777,2.5.1.27
778,2.5.1.29
779,2.5.1.3
780,2.5.1.31
781,2.5.1.32
782,2.5.1.34
783,2.5.1.39
784,2.5.1.41
785,2.5.1.42
786,2.5.1.43
787,2.5.1.46
788,2.5.1.47
789,2.5.1.48
790,2.5.1.54
791,2.5.1.55
792,2.5.1.58
793,2.5.1.59
794,2.5.1.6
795,2.5.1.60
796,2.5.1.61
797,2.5.1.7
798,2.5.1.72
799,2.5.1.73
800,2.5.1.75
801,2.5.1.76
802,2.5.1.78
803,2.5.1.81
804,2.5.1.87
805,2.5.1.89
806,2.5.1.9
807,2.5.1.96
808,2.5.1.n9
809,2.6.1.-
810,2.6.1.1
811,2.6.1.101
812,2.6.1.11
813,2.6.1.118
814,2.6.1.13
